Question_EN,Question_TL,Answer,Source,Category,BAAI_documents_retrieved_0.3,BAAI_documents_retrieved_0.5,BAAI_documents_retrieved_0.7
What impact does the increase in rice assistance for Quezon City Hall regular employees have on their financial well-being?,Anong epekto ng pagtaas ng tulong sa bigas para sa mga regular na empleyado ng Quezon City Hall sa kanilang kaginhawaan sa pananalapi?,"The increase in rice assistance from PHP1,500.00 to PHP2,000.00 per quarter is intended to help alleviate the economic challenges faced by Quezon City Hall regular employees. This subsidy aims to support the employees by providing additional financial aid to cope with the rising cost of rice and other basic commodities, thereby contributing to their overall financial well-being and ensuring decent living standards.","SP-2727, S-2018",Preamble,"[[""SP-2727, S-2018"", ""Preamble"", 0.9465909600257874], [""SP-2727, S-2018"", ""Operative"", 0.5618686676025391], [""SP-2727, S-2018"", ""Introduction"", 0.4044598937034607], [""SP-8962, S-2022"", ""Operative"", 0.3208465576171875], [""SP-3138, S-2022"", ""Preamble"", 0.32038888335227966], [""SP-3029, S-2021"", ""Operative"", 0.30472448468208313], [""SP-3062, S-2021"", ""Preamble"", 0.30455976724624634]]","[[""SP-2727, S-2018"", ""Preamble"", 0.9109849333763123], [""SP-2727, S-2018"", ""Operative"", 0.6870490312576294], [""SP-2727, S-2018"", ""Introduction"", 0.503153920173645], [""SP-3029, S-2021"", ""Operative"", 0.28709837794303894], [""SP-8962, S-2022"", ""Operative"", 0.28412723541259766], [""SP-3138, S-2022"", ""Preamble"", 0.2496897429227829], [""SP-3062, S-2021"", ""Preamble"", 0.22027605772018433]]","[[""SP-2727, S-2018"", ""Preamble"", 0.8753789067268372], [""SP-2727, S-2018"", ""Operative"", 0.8122293949127197], [""SP-2727, S-2018"", ""Introduction"", 0.6018480062484741], [""SP-3062, S-2021"", ""Introduction"", 0.28043654561042786], [""SP-3136, S-2022"", ""Introduction"", 0.2712154686450958], [""SP-3029, S-2021"", ""Operative"", 0.26947227120399475], [""SP-3138, S-2022"", ""Introduction"", 0.2652600407600403]]"
What could be the consequence if a member of the Quezon City Council does not comply with the dress code ordinance during the month of August sessions?,Ano ang posibleng mangyari kung ang isang miyembro ng Konseho ng Lungsod ng Quezon ay hindi sumunod sa ordinansa ng dress code sa mga sesyon sa buwan ng Agosto?,"If a member of the Quezon City Council does not comply with the ordinance requiring them to wear Barong Tagalog or simple Filipiniana inspired attire during the August sessions, they may face disciplinary action in accordance with the Internal Rules of Procedure of the Quezon City Council.","SP-3141, S-2022",Operative,"[[""SP-3141, S-2022"", ""Operative"", 0.9624793529510498], [""SP-3141, S-2022"", ""Preamble"", 0.43298640847206116], [""SP-3141, S-2022"", ""Introduction"", 0.42398473620414734], [""SP-3044, S-2021"", ""Operative"", 0.36283549666404724], [""SP-3139, S-2022"", ""Preamble"", 0.279935359954834], [""SP-7924, S-2019"", ""Operative"", 0.21922457218170166], [""SP-3033, S-2021"", ""Operative"", 0.20781779289245605]]","[[""SP-3141, S-2022"", ""Operative"", 0.9374655485153198], [""SP-3141, S-2022"", ""Introduction"", 0.5885605216026306], [""SP-3141, S-2022"", ""Preamble"", 0.3092760145664215], [""SP-2804, S-2018"", ""Operative"", 0.2972763776779175], [""SP-3163, S-2022"", ""Operative"", 0.2722446918487549], [""SP-3033, S-2021"", ""Operative"", 0.2624862790107727], [""SP-3044, S-2021"", ""Operative"", 0.25916820764541626]]","[[""SP-3141, S-2022"", ""Operative"", 0.9124517440795898], [""SP-3141, S-2022"", ""Introduction"", 0.7531362771987915], [""SP-2804, S-2018"", ""Operative"", 0.4161869287490845], [""SP-3163, S-2022"", ""Operative"", 0.3811425566673279], [""SP-3033, S-2021"", ""Operative"", 0.31715479493141174], [""SP-3139, S-2022"", ""Introduction"", 0.31034040451049805], [""SP-3102, S-2022"", ""Operative"", 0.3032357096672058]]"
What are the potential penalties for candidates who fail to clean up their campaign waste materials in Quezon City within the specified time frame after an election?,Ano ang mga posibleng parusa para sa mga kandidato na hindi malinis ang kanilang mga campaign waste materials sa Quezon City sa loob ng tinakdang oras pagkatapos ng halalan?,"A violation of the ordinance requiring candidates to remove their campaign waste materials within fourteen days after an election is penalized by a fine of Five Thousand Pesos (Php5,000.00) or imprisonment of one (1) year, or both such fine and imprisonment at the discretion of the court.",SP-3166 S-2022,Operative,"[[""SP-3166 S-2022"", ""Introduction"", 1.0], [""SP-3166 S-2022"", ""Operative"", 0.9598137140274048], [""SP-3166 S-2022"", ""Preamble"", 0.6678935885429382], [""SP-3011, S-2021"", ""Operative"", 0.34357213973999023], [""SP-2804, S-2018"", ""Operative"", 0.27211225032806396], [""SP-2503, S-2016"", ""Operative"", 0.2500151991844177]]","[[""SP-3166 S-2022"", ""Introduction"", 1.0], [""SP-3166 S-2022"", ""Operative"", 0.9712429642677307], [""SP-3166 S-2022"", ""Preamble"", 0.6378580331802368], [""SP-3011, S-2021"", ""Operative"", 0.299383282661438], [""SP-2804, S-2018"", ""Operative"", 0.29651954770088196], [""SP-2503, S-2016"", ""Operative"", 0.28053101897239685]]","[[""SP-3166 S-2022"", ""Introduction"", 1.0], [""SP-3166 S-2022"", ""Operative"", 0.9826722145080566], [""SP-3166 S-2022"", ""Preamble"", 0.6078224182128906], [""SP-2804, S-2018"", ""Operative"", 0.32092687487602234], [""SP-2503, S-2016"", ""Operative"", 0.31104686856269836], [""SP-3044, S-2021"", ""Operative"", 0.2772302031517029]]"
What are the potential consequences for a business establishment in Quezon City if it is found non-compliant with the CCTV ordinance after the first violation?,Ano ang mga posibleng parusa para sa isang negosyo sa Quezon City kung ito ay napatunayang hindi sumunod sa CCTV ordinansa matapos ang unang paglabag?,"According to the ordinance, if a business establishment in Quezon City is found non-compliant with the CCTV requirements after the first violation, a fine not exceeding Five Thousand Pesos (Php5,000.00) can be imposed. Continued or subsequent failure to comply with the ordinance's provisions may also lead to the suspension, revocation, or cancellation of the establishment's business permit.","SP-2139, S-2012",Operative,"[[""SP-2139, S-2012"", ""Operative"", 0.7529276609420776], [""SP-2695, S-2018"", ""Operative"", 0.5854061841964722], [""SP-3076, S-2021"", ""Operative"", 0.5324934720993042], [""SP-2695, S-2018"", ""Preamble"", 0.5301419496536255], [""SP-2139, S-2012"", ""Operative"", 0.5138633847236633], [""SP-2139, S-2012"", ""Signature"", 0.4449755549430847]]","[[""SP-2139, S-2012"", ""Operative"", 0.644757091999054], [""SP-2139, S-2012"", ""Operative"", 0.5882127285003662], [""SP-2695, S-2018"", ""Preamble"", 0.586199164390564], [""SP-2695, S-2018"", ""Operative"", 0.5811811685562134], [""SP-2139, S-2012"", ""Signature"", 0.4652426838874817], [""SP-2139, S-2012"", ""Introduction"", 0.4325156807899475]]","[[""SP-2139, S-2012"", ""Operative"", 0.7756507992744446], [""SP-2695, S-2018"", ""Operative"", 0.7487087249755859], [""SP-2695, S-2018"", ""Preamble"", 0.6422564387321472], [""SP-2139, S-2012"", ""Introduction"", 0.5841366648674011], [""SP-2139, S-2012"", ""Signature"", 0.4855097830295563]]"
What provision does the ordinance provide for deferring the ban on brown bags during a state of calamity?,Anong probisyon ang ibinibigay ng ordinansa para ipagpaliban ang pagbabawal sa brown bags sa panahon ng kalamidad?,"The ordinance allows the City Mayor to defer the implementation of the ban on brown bags while the city is under a state of calamity, such as during the COVID-19 pandemic. The deferment can be done for six-month periods, based on prevailing economic conditions and other relevant considerations.","SP-3066, S-2021",Operative,"[[""SP-3066, S-2021"", ""Operative"", 0.971172571182251], [""SP-3066, S-2021"", ""Introduction"", 0.9135244488716125], [""SP-3066, S-2021"", ""Preamble"", 0.8441211581230164], [""SP-3025, S-2021"", ""Preamble"", 0.23896852135658264], [""SP-3029, S-2021"", ""Preamble"", 0.23439157009124756], [""SP-7902, S-2019"", ""Operative"", 0.17089906334877014], [""SP-3026, S-2021"", ""Preamble"", 0.15971824526786804]]","[[""SP-3066, S-2021"", ""Operative"", 0.9519542455673218], [""SP-3066, S-2021"", ""Introduction"", 0.9382317066192627], [""SP-3066, S-2021"", ""Preamble"", 0.8643357753753662], [""SP-3029, S-2021"", ""Preamble"", 0.2565114498138428], [""SP-3025, S-2021"", ""Preamble"", 0.17069180309772491], [""SP-3103, S-2022"", ""Introduction"", 0.16283352673053741], [""SP-3026, S-2021"", ""Preamble"", 0.16031098365783691]]","[[""SP-3066, S-2021"", ""Introduction"", 0.9629390239715576], [""SP-3066, S-2021"", ""Operative"", 0.9327359795570374], [""SP-3066, S-2021"", ""Preamble"", 0.8845503330230713], [""SP-3029, S-2021"", ""Preamble"", 0.2786312997341156], [""SP-3103, S-2022"", ""Introduction"", 0.22796693444252014], [""SP-3080, S-2021"", ""Introduction"", 0.22237305343151093], [""SP-3102, S-2022"", ""Introduction"", 0.21090954542160034]]"
What is the significance of the partnership between the Quezon City Government and private organizations for the COVID-19 vaccination efforts in Quezon City?,Ano ang kahalagahan ng pakikipagtulungan sa pagitan ng Pamahalaang Lungsod ng Quezon at pribadong mga organisasyon para sa mga pagsusumikap sa pagbabakuna ng COVID-19 sa Lungsod Quezon?,"The partnership allows the Quezon City Government to collaborate with private organizations to enhance their COVID-19 vaccination efforts by combining resources and manpower. This cooperation enables the rapid inoculation of a larger number of residents and workers in Quezon City. By including volunteers and medical workers from partner organizations, the City Government can increase the capacity and efficiency of its vaccination sites, while ensuring personnel from the member companies of these organizations are also vaccinated under the city’s supervision.","SP-8569, S-2021",Preamble,"[[""SP-8569, S-2021"", ""Preamble"", 1.0], [""SP-8565, S-2021"", ""Preamble"", 0.719943642616272], [""SP-3048, S-2021"", ""Operative"", 0.6609210968017578], [""SP-3048, S-2021"", ""Preamble"", 0.5897529125213623], [""SP-9049, S-2022"", ""Preamble"", 0.5112124681472778], [""SP-3076, S-2021"", ""Preamble"", 0.39530083537101746]]","[[""SP-8569, S-2021"", ""Preamble"", 1.0], [""SP-8565, S-2021"", ""Preamble"", 0.7032961845397949], [""SP-3048, S-2021"", ""Operative"", 0.6551055908203125], [""SP-3048, S-2021"", ""Preamble"", 0.6031807661056519], [""SP-9049, S-2022"", ""Preamble"", 0.5471411347389221], [""SP-9049, S-2022"", ""Operative"", 0.4349387586116791]]","[[""SP-8569, S-2021"", ""Preamble"", 1.0], [""SP-8565, S-2021"", ""Preamble"", 0.6866487860679626], [""SP-3048, S-2021"", ""Operative"", 0.649290144443512], [""SP-3048, S-2021"", ""Preamble"", 0.6166086196899414], [""SP-9049, S-2022"", ""Preamble"", 0.5830698013305664], [""SP-9049, S-2022"", ""Operative"", 0.4847813844680786], [""SP-3024, S-2021"", ""Preamble"", 0.4631844162940979]]"
"What is the requirement for establishments in Quezon City regarding the KyusiPass system by August 15, 2021?","Ano ang kinakailangan para sa mga establisyimento sa Lungsod Quezon patungkol sa sistema ng KyusiPass hanggang Agosto 15, 2021?","Establishments in Quezon City are required to prepare their QR Code scanner system for the full implementation of the KyusiPass contact tracing method by August 15, 2021.","SP-3033, S-2021",Operative,"[[""SP-3033, S-2021"", ""Preamble"", 0.8550830483436584], [""SP-3033, S-2021"", ""Introduction"", 0.6315470337867737], [""SP-3033, S-2021"", ""Operative"", 0.5926108956336975], [""SP-3103, S-2022"", ""Operative"", 0.5542703866958618], [""SP-3103, S-2022"", ""Preamble"", 0.4613293409347534], [""SP-2139, S-2012"", ""Signature"", 0.33842578530311584]]","[[""SP-3033, S-2021"", ""Preamble"", 0.7584717273712158], [""SP-3033, S-2021"", ""Introduction"", 0.7113707065582275], [""SP-3103, S-2022"", ""Operative"", 0.6816217303276062], [""SP-3033, S-2021"", ""Operative"", 0.5518355369567871], [""SP-3103, S-2022"", ""Preamble"", 0.37958601117134094], [""SP-2139, S-2012"", ""Signature"", 0.32847046852111816], [""SP-3084, S-2021"", ""Operative"", 0.2476206123828888]]","[[""SP-3103, S-2022"", ""Operative"", 0.8089730143547058], [""SP-3033, S-2021"", ""Introduction"", 0.7911943197250366], [""SP-3033, S-2021"", ""Preamble"", 0.661860466003418], [""SP-3033, S-2021"", ""Operative"", 0.5110602378845215], [""SP-3084, S-2021"", ""Operative"", 0.3466688394546509], [""SP-2139, S-2012"", ""Signature"", 0.32168301939964294], [""SP-3103, S-2022"", ""Preamble"", 0.29784268140792847]]"
What are the steps and requirements for a vehicle using alternative fuel to be exempt from the Vehicular Volume Reduction Scheme in Quezon City?,Ano ang mga hakbang at kinakailangan para ma-exempt ang isang sasakyang gumagamit ng alternatibong fuel mula sa Vehicular Volume Reduction Scheme sa Lungsod Quezon?,"To be exempt from the Vehicular Volume Reduction Scheme, the vehicle owner must submit a duly accomplished application form, the Certificate of Registration of the vehicle, and proof of payment of the filing fee. The vehicle must then undergo a mandatory inspection at the Department of Public Order and Safety Office. If all documents are complete and in order, a sticker with the signature of the City Mayor will be issued, which must be placed on the vehicle's windshield. Vehicles using alternative fuel but without the required sticker are not exempt.","SP-2398, S-2016",Operative,"[[""SP-2398, S-2016"", ""Operative"", 1.0], [""SP-2398, S-2016"", ""Preamble"", 0.5982271432876587], [""SP-2398, S-2016"", ""Introduction"", 0.5505539178848267], [""SP-1917, S-2009"", ""Operative"", 0.16784033179283142], [""SP-2373, S-2014"", ""Operative"", 0.14697064459323883], [""SP-1917, S-2009"", ""Operative"", 0.14250068366527557], [""SP-3107, S-2022"", ""Operative"", 0.1400178223848343]]","[[""SP-2398, S-2016"", ""Operative"", 1.0], [""SP-2398, S-2016"", ""Introduction"", 0.6330868601799011], [""SP-2398, S-2016"", ""Preamble"", 0.6276073455810547], [""SP-3107, S-2022"", ""Operative"", 0.22196362912654877], [""SP-2373, S-2014"", ""Operative"", 0.18791276216506958]]","[[""SP-2398, S-2016"", ""Operative"", 1.0], [""SP-2398, S-2016"", ""Introduction"", 0.7156198024749756], [""SP-2398, S-2016"", ""Preamble"", 0.6569876074790955], [""SP-3107, S-2022"", ""Operative"", 0.30390942096710205], [""SP-2373, S-2014"", ""Operative"", 0.23713310062885284], [""SP-3027, S-2021"", ""Operative"", 0.23121416568756104], [""SP-2373, S-2014"", ""Operative"", 0.22885489463806152]]"
What is the significance of including compliance with the Ease of Doing Business Act as a criterion for good local governance in Quezon City?,Ano ang kahalagahan ng pagsasama ng pagsunod sa Ease of Doing Business Act bilang pamantayan para sa magandang lokal na pamamahala sa Lungsod Quezon?,"Including compliance with the Ease of Doing Business Act as a criterion for good local governance in Quezon City emphasizes the importance of efficient and streamlined government services. It aims to reduce bureaucracy and improve the quality of service delivery at the barangay level, thereby ensuring that government operations are more accessible and responsive to the needs of the constituents.","SP-3125, S-2022",Preamble,"[[""SP-3125, S-2022"", ""Preamble"", 0.993638277053833], [""SP-3125, S-2022"", ""Operative"", 0.8771112561225891], [""SP-3114, S-2022"", ""Operative"", 0.5904278755187988], [""SP-3114, S-2022"", ""Operative"", 0.5162986516952515], [""SP-3010, S-2021"", ""Preamble"", 0.5003159046173096], [""SP-3010, S-2021"", ""Operative"", 0.39647895097732544]]","[[""SP-3125, S-2022"", ""Preamble"", 0.9893971681594849], [""SP-3125, S-2022"", ""Operative"", 0.8807673454284668], [""SP-3114, S-2022"", ""Operative"", 0.7074484825134277], [""SP-3114, S-2022"", ""Operative"", 0.5516414046287537], [""SP-3010, S-2021"", ""Preamble"", 0.49803054332733154], [""SP-3107, S-2022"", ""Preamble"", 0.4342126250267029]]","[[""SP-3125, S-2022"", ""Preamble"", 0.9851559996604919], [""SP-3125, S-2022"", ""Operative"", 0.8844233751296997], [""SP-3114, S-2022"", ""Operative"", 0.8244690895080566], [""SP-3107, S-2022"", ""Preamble"", 0.6078976392745972], [""SP-3114, S-2022"", ""Operative"", 0.5869840979576111], [""SP-3010, S-2021"", ""Preamble"", 0.4957452118396759]]"
What are the benefits and incentives provided to Quezon City Barangay Health Workers under this ordinance?,Ano ang mga benepisyo at insentibo na ibinibigay sa Barangay Health Workers ng Quezon City sa ilalim ng ordinansang ito?,"Under this ordinance, Quezon City Barangay Health Workers (QC-BHWs) are entitled to various local benefits and incentives, which include identification cards, uniforms, a health kit, sponsored PhilHealth membership, educational assistance for themselves or their children, accident insurance, funeral and burial assistance, a retirement benefit of Twenty Thousand Pesos for those who have provided continuous service for at least ten years, and livelihood assistance when separating from service. These benefits are provided as part of an effort to support QC-BHWs in performing their duties and to recognize their contributions to the community.","SP-2445, S-2015",Operative,"[[""SP-2445, S-2015"", ""Preamble"", 0.8702799081802368], [""SP-2445, S-2015"", ""Operative"", 0.818676769733429], [""SP-2445, S-2015"", ""Introduction"", 0.6999985575675964], [""SP-3161, S-2022"", ""Operative"", 0.6731213927268982]]","[[""SP-2445, S-2015"", ""Introduction"", 0.785713255405426], [""SP-2445, S-2015"", ""Preamble"", 0.7837998270988464], [""SP-2445, S-2015"", ""Operative"", 0.7758203744888306], [""SP-3161, S-2022"", ""Operative"", 0.6731559038162231]]","[[""SP-2445, S-2015"", ""Introduction"", 0.8714279532432556], [""SP-2445, S-2015"", ""Operative"", 0.7329639196395874], [""SP-2445, S-2015"", ""Preamble"", 0.697319746017456], [""SP-3161, S-2022"", ""Operative"", 0.6731903553009033]]"
What is the significance of the City Council extending congratulations to a citizen for their academic achievements?,Ano ang kahalagahan ng pagbati ng Konseho ng Lungsod sa isang mamamayan para sa kanilang tagumpay sa akademya?,"The City Council's congratulations serve to formally recognize and celebrate the individual's outstanding academic achievement, which brings pride to the community. It also serves as an inspiration for young people, encouraging them to pursue excellence and diligence in their studies.","SP-9008, S-2022",Operative,"[[""SP-3129, S-2022"", ""Operative"", 1.0], [""SP-9007, S-2022"", ""Operative"", 0.5294669270515442], [""SP-3129, S-2022"", ""Preamble"", 0.48556625843048096], [""SP-9008, S-2022"", ""Operative"", 0.4643779397010803], [""SP-9008, S-2022"", ""Introduction"", 0.4327051043510437], [""SP-9005, S-2022"", ""Operative"", 0.4307246506214142], [""SP-9012, S-2022"", ""Operative"", 0.37753787636756897]]","[[""SP-3129, S-2022"", ""Operative"", 1.0], [""SP-9007, S-2022"", ""Operative"", 0.6561933755874634], [""SP-9008, S-2022"", ""Operative"", 0.5659511685371399], [""SP-9008, S-2022"", ""Introduction"", 0.5231050848960876], [""SP-9005, S-2022"", ""Operative"", 0.49673330783843994], [""SP-3129, S-2022"", ""Preamble"", 0.44750383496284485], [""SP-9012, S-2022"", ""Operative"", 0.4169839322566986]]","[[""SP-3129, S-2022"", ""Operative"", 1.0], [""SP-9007, S-2022"", ""Operative"", 0.7829198241233826], [""SP-9008, S-2022"", ""Operative"", 0.6675243973731995], [""SP-9008, S-2022"", ""Introduction"", 0.6135050654411316], [""SP-9005, S-2022"", ""Operative"", 0.5627419948577881], [""SP-9007, S-2022"", ""Introduction"", 0.4571951925754547], [""SP-9012, S-2022"", ""Operative"", 0.45642998814582825]]"
What is the significance of allocating at least Twelve Million Pesos for the pneumococcal vaccination program for senior citizens in Quezon City?,Ano ang kahalagahan ng paglaan ng hindi bababa sa Labindalawang Milyong Piso para sa programang pagbabakuna ng mga senior citizen laban sa pneumococcal sa Lungsod Quezon?,"The allocation of at least Twelve Million Pesos for the pneumococcal vaccination program ensures that there are sufficient funds to purchase and provide 23-valent Polysaccharide vaccines to senior citizens across the six districts of Quezon City. This budget is designed to address the needs of senior citizens who have not yet been vaccinated, helping to improve their health and prevent diseases, and can be adjusted in the future based on the number of registered senior citizens requiring vaccination.","SP-2699, S-2018",Operative,"[[""SP-2699, S-2018"", ""Preamble"", 1.0], [""SP-2699, S-2018"", ""Operative"", 0.7179967761039734], [""SP-2760, S-2018"", ""Operative"", 0.5231810808181763], [""SP-2760, S-2018"", ""Preamble"", 0.39366328716278076], [""SP-2544, S-2016"", ""Preamble"", 0.3717110753059387], [""SP-2699, S-2018"", ""Introduction"", 0.3639006018638611]]","[[""SP-2699, S-2018"", ""Preamble"", 1.0], [""SP-2699, S-2018"", ""Operative"", 0.7273541688919067], [""SP-2760, S-2018"", ""Operative"", 0.49564170837402344], [""SP-2699, S-2018"", ""Introduction"", 0.46659547090530396], [""SP-2760, S-2018"", ""Preamble"", 0.40763479471206665], [""SP-3048, S-2021"", ""Operative"", 0.3484727740287781]]","[[""SP-2699, S-2018"", ""Preamble"", 1.0], [""SP-2699, S-2018"", ""Operative"", 0.7367115616798401], [""SP-2699, S-2018"", ""Introduction"", 0.5692903399467468], [""SP-2760, S-2018"", ""Operative"", 0.468102365732193], [""SP-2760, S-2018"", ""Preamble"", 0.42160627245903015], [""SP-3048, S-2021"", ""Operative"", 0.3852611780166626]]"
What are the expected benefits and developments that the community anticipates from the construction of the Caltex Gasoline Refilling Station?,Ano ang mga inaasahang benepisyo at pag-unlad na inaasahan ng komunidad mula sa pagtatayo ng Caltex Gasoline Refilling Station?,"The community anticipates benefits and development from the construction of the Caltex Gasoline Refilling Station, which is why the Sangguniang Barangay of Balingasa did not object to the proposed project.","SP-8984, S-2022",Preamble,"[[""SP-8984, S-2022"", ""Operative"", 1.0], [""SP-8984, S-2022"", ""Preamble"", 0.8346458673477173], [""SP-8988, S-2022"", ""Introduction"", 0.8094993233680725], [""SP-8974, S-2022"", ""Introduction"", 0.7925907373428345], [""SP-8988, S-2022"", ""Operative"", 0.7807192802429199], [""SP-8974, S-2022"", ""Operative"", 0.7610628604888916], [""SP-8984, S-2022"", ""Introduction"", 0.6252493858337402]]","[[""SP-8984, S-2022"", ""Operative"", 1.0], [""SP-8984, S-2022"", ""Preamble"", 0.8080495595932007], [""SP-8988, S-2022"", ""Introduction"", 0.7748475670814514], [""SP-8988, S-2022"", ""Operative"", 0.7621368765830994], [""SP-8974, S-2022"", ""Introduction"", 0.7512932419776917], [""SP-8974, S-2022"", ""Operative"", 0.7335166931152344], [""SP-8984, S-2022"", ""Introduction"", 0.686721682548523]]","[[""SP-8984, S-2022"", ""Operative"", 1.0], [""SP-8984, S-2022"", ""Preamble"", 0.7814532518386841], [""SP-8984, S-2022"", ""Introduction"", 0.7481940388679504], [""SP-8988, S-2022"", ""Operative"", 0.7435544729232788], [""SP-8988, S-2022"", ""Introduction"", 0.7401958107948303], [""SP-8974, S-2022"", ""Introduction"", 0.7099957466125488], [""SP-8974, S-2022"", ""Operative"", 0.7059705257415771]]"
"What conditions could lead to the annulment of the Special Use Permit issued to Victory Liner, Inc. for their bus terminal?","Anong mga kondisyon ang maaaring magresulta sa pag-alis ng Special Use Permit na inisyu sa Victory Liner, Inc. para sa kanilang bus terminal?","The Special Use Permit (SUP) for Victory Liner, Inc.'s bus terminal could be annulled if the Land Transportation Franchising and Regulatory Board (LTFRB) revokes its franchise, or if there is a violation of applicable special laws, rules, and regulations.","SP-8985, S-2022",Operative,"[[""SP-8985, S-2022"", ""Introduction"", 0.9877897500991821], [""SP-8985, S-2022"", ""Operative"", 0.9060888886451721], [""SP-8985, S-2022"", ""Preamble"", 0.8834345936775208], [""SP-8990, S-2022"", ""Operative"", 0.6305174231529236], [""SP-8990, S-2022"", ""Preamble"", 0.6118512153625488], [""SP-8972, S-2022"", ""Introduction"", 0.41006985306739807], [""SP-8972, S-2022"", ""Operative"", 0.3662688732147217]]","[[""SP-8985, S-2022"", ""Introduction"", 0.979649543762207], [""SP-8985, S-2022"", ""Operative"", 0.9329206347465515], [""SP-8985, S-2022"", ""Preamble"", 0.8817171454429626], [""SP-8990, S-2022"", ""Operative"", 0.6942538022994995], [""SP-8990, S-2022"", ""Preamble"", 0.6578959226608276], [""SP-8972, S-2022"", ""Introduction"", 0.4422183930873871], [""SP-8972, S-2022"", ""Operative"", 0.3840569257736206]]","[[""SP-8985, S-2022"", ""Introduction"", 0.9715093374252319], [""SP-8985, S-2022"", ""Operative"", 0.9597523808479309], [""SP-8985, S-2022"", ""Preamble"", 0.8799996376037598], [""SP-8990, S-2022"", ""Operative"", 0.7579902410507202], [""SP-8990, S-2022"", ""Preamble"", 0.7039405703544617], [""SP-8972, S-2022"", ""Introduction"", 0.4743669331073761], [""SP-8980, S-2022"", ""Introduction"", 0.4054192006587982]]"
What is the purpose of creating a Gender and Development (GAD) Council Office in Quezon City?,Ano ang layunin ng pagbuo ng Gender and Development (GAD) Council Office sa Lungsod Quezon?,"The purpose of creating a GAD Council Office in Quezon City is to monitor and implement gender and development plans, programs, and activities from the barangay to the city level. It aims to promote women's empowerment and gender equality, ensure the compliance of the city government with relevant legal frameworks, and provide secretariat support to ensure gender-responsive governance. The office also develops and implements capacity-building activities, establishes gender-responsive knowledge centers, and produces reports on gender issues for submission to relevant agencies.","SP-3157, S-2022",Operative,"[[""SP-3157, S-2022"", ""Operative"", 0.9633181691169739], [""SP-3157, S-2022"", ""Preamble"", 0.943163275718689]]","[[""SP-3157, S-2022"", ""Operative"", 0.9737986922264099], [""SP-3157, S-2022"", ""Preamble"", 0.9052721858024597]]","[[""SP-3157, S-2022"", ""Operative"", 0.984279215335846], [""SP-3157, S-2022"", ""Preamble"", 0.8673810362815857]]"
What role does the City Council play in the appointment of department heads by the City Mayor according to the Local Government Code?,Ano ang papel ng Konseho ng Lungsod sa pagtatalaga ng mga pinuno ng departamento ng Alkalde ng Lungsod ayon sa Local Government Code?,"The City Council must concur with the appointments of department and office heads made by the City Mayor, ensuring that such appointments meet the procedural and substantive requirements set forth by the Civil Service Rules and Regulations.","SP-8989, S-2022",Preamble,"[[""SP-8989, S-2022"", ""Preamble"", 1.0], [""SP-8989, S-2022"", ""Operative"", 0.4582732021808624], [""SP-7924, S-2019"", ""Preamble"", 0.3664514422416687], [""SP-3174, S-2023"", ""Preamble"", 0.3629927337169647], [""SP-3137, S-2022"", ""Preamble"", 0.25552764534950256], [""SP-3372-S-2024"", ""Preamble"", 0.2248033732175827], [""SP-3336, S-2024"", ""Signature"", 0.19827279448509216]]","[[""SP-8989, S-2022"", ""Preamble"", 1.0], [""SP-8989, S-2022"", ""Operative"", 0.373052179813385], [""SP-3163, S-2022"", ""Signature"", 0.278271347284317], [""SP-7924, S-2019"", ""Preamble"", 0.2617510259151459], [""SP-3174, S-2023"", ""Preamble"", 0.2592805325984955], [""SP-3336, S-2024"", ""Signature"", 0.23828984797000885], [""SP-3184, S-2023"", ""Signature"", 0.2240334451198578]]","[[""SP-8989, S-2022"", ""Preamble"", 1.0], [""SP-3163, S-2022"", ""Signature"", 0.3895798921585083], [""SP-8989, S-2022"", ""Operative"", 0.2878311574459076], [""SP-3336, S-2024"", ""Signature"", 0.27830690145492554], [""SP-3185, S-2023"", ""Signature"", 0.26582595705986023], [""SP-3184, S-2023"", ""Signature"", 0.25710952281951904], [""SP-3157, S-2022"", ""Signature"", 0.25347015261650085]]"
