Question_EN,Question_TL,Answer,Source,Category,BAAI_documents_retrieved,snowflake_documents_retrieved,multilingual_documents_retrieved
What are the potential consequences for a business establishment in Quezon City if it is found non-compliant with the CCTV ordinance after the first violation?,Ano ang mga posibleng parusa para sa isang negosyo sa Quezon City kung ito ay napatunayang hindi sumunod sa CCTV ordinansa matapos ang unang paglabag?,"According to the ordinance, if a business establishment in Quezon City is found non-compliant with the CCTV requirements after the first violation, a fine not exceeding Five Thousand Pesos (Php5,000.00) can be imposed. Continued or subsequent failure to comply with the ordinance's provisions may also lead to the suspension, revocation, or cancellation of the establishment's business permit.","SP-2139, S-2012",Operative,"[[""SP-2139, S-2012"", ""Operative"", 0.6205440759658813], [""SP-2695, S-2018"", ""Operative"", 0.5866678953170776], [""SP-2139, S-2012"", ""Operative"", 0.5795062780380249], [""SP-2139, S-2012"", ""Introduction"", 0.4986015856266022], [""SP-2695, S-2018"", ""Preamble"", 0.4710780382156372], [""SP-2139, S-2012"", ""Signature"", 0.45964083075523376]]","[[""SP-2139, S-2012"", ""Introduction"", 0.5066923499107361], [""SP-3076, S-2021"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3185, S-2023"", ""Operative"", 0.42795366048812866], [""SP-2695, S-2018"", ""Preamble"", 0.41936224699020386], [""SP-3116, S-2022"", ""Operative"", 0.40422171354293823], [""SP-2804, S-2018"", ""Operative"", 0.39832568168640137]]","[[""SP-2139, S-2012"", ""Operative"", 0.6232746243476868], [""SP-2695, S-2018"", ""Operative"", 0.524411678314209], [""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-8971, S-2022"", ""Preamble"", 0.49169501662254333], [""SP-3165 S-2022"", ""Introduction"", 0.4858350157737732], [""SP-2139, S-2012"", ""Preamble"", 0.4754318594932556], [""SP-0944, S-2000"", ""Operative"", 0.44481199979782104]]"
What provision does the ordinance provide for deferring the ban on brown bags during a state of calamity?,Anong probisyon ang ibinibigay ng ordinansa para ipagpaliban ang pagbabawal sa brown bags sa panahon ng kalamidad?,"The ordinance allows the City Mayor to defer the implementation of the ban on brown bags while the city is under a state of calamity, such as during the COVID-19 pandemic. The deferment can be done for six-month periods, based on prevailing economic conditions and other relevant considerations.","SP-3066, S-2021",Operative,"[[""SP-3066, S-2021"", ""Preamble"", 0.949633002281189], [""SP-3066, S-2021"", ""Operative"", 0.9044882655143738], [""SP-3066, S-2021"", ""Introduction"", 0.7849211692810059], [""SP-3029, S-2021"", ""Preamble"", 0.17748653888702393], [""SP-3166 S-2022"", ""Introduction"", 0.17048031091690063], [""SP-3080, S-2021"", ""Preamble"", 0.15851040184497833], [""SP-2863, S-2019"", ""Operative"", 0.15841573476791382]]","[[""SP-3066, S-2021"", ""Preamble"", 0.6324334740638733], [""SP-3066, S-2021"", ""Introduction"", 0.567486047744751], [""SP-3066, S-2021"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3166 S-2022"", ""Preamble"", 0.48094144463539124], [""SP-3163, S-2022"", ""Preamble"", 0.398120254278183], [""SP-8990, S-2022"", ""Introduction"", 0.3432163596153259]]","[[""SP-3066, S-2021"", ""Operative"", 0.8482769131660461], [""SP-3066, S-2021"", ""Introduction"", 0.6518343687057495], [""SP-3066, S-2021"", ""Preamble"", 0.6048716306686401], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-8971, S-2022"", ""Preamble"", 0.4611174762248993], [""SP-3114, S-2022"", ""Operative"", 0.400791734457016], [""SP-3166 S-2022"", ""Introduction"", 0.2674175500869751]]"
What is the significance of the partnership between the Quezon City Government and private organizations for the COVID-19 vaccination efforts in Quezon City?,Ano ang kahalagahan ng pakikipagtulungan sa pagitan ng Pamahalaang Lungsod ng Quezon at pribadong mga organisasyon para sa mga pagsusumikap sa pagbabakuna ng COVID-19 sa Lungsod Quezon?,"The partnership allows the Quezon City Government to collaborate with private organizations to enhance their COVID-19 vaccination efforts by combining resources and manpower. This cooperation enables the rapid inoculation of a larger number of residents and workers in Quezon City. By including volunteers and medical workers from partner organizations, the City Government can increase the capacity and efficiency of its vaccination sites, while ensuring personnel from the member companies of these organizations are also vaccinated under the city’s supervision.","SP-8569, S-2021",Preamble,"[[""SP-8569, S-2021"", ""Preamble"", 1.0], [""SP-8565, S-2021"", ""Preamble"", 0.8201761245727539], [""SP-3048, S-2021"", ""Operative"", 0.7651201486587524], [""SP-3048, S-2021"", ""Preamble"", 0.6710798740386963], [""SP-9049, S-2022"", ""Preamble"", 0.6293900012969971], [""SP-9049, S-2022"", ""Operative"", 0.5138257741928101]]","[[""SP-8569, S-2021"", ""Preamble"", 0.8136645555496216], [""SP-9049, S-2022"", ""Preamble"", 0.7666240930557251], [""SP-3025, S-2021"", ""Preamble"", 0.5781611204147339], [""SP-3048, S-2021"", ""Preamble"", 0.5208052396774292], [""SP-8565, S-2021"", ""Preamble"", 0.5038602352142334], [""SP-3048, S-2021"", ""Introduction"", 0.449831485748291]]","[[""SP-3011, S-2021"", ""Operative"", 0.6043999195098877], [""SP-8565, S-2021"", ""Preamble"", 0.5447339415550232], [""SP-8569, S-2021"", ""Preamble"", 0.5396487712860107], [""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-9049, S-2022"", ""Operative"", 0.48678478598594666], [""SP-3029, S-2021"", ""Operative"", 0.44541317224502563], [""SP-9049, S-2022"", ""Preamble"", 0.4453454315662384]]"
"What is the requirement for establishments in Quezon City regarding the KyusiPass system by August 15, 2021?","Ano ang kinakailangan para sa mga establisyimento sa Lungsod Quezon patungkol sa sistema ng KyusiPass hanggang Agosto 15, 2021?","Establishments in Quezon City are required to prepare their QR Code scanner system for the full implementation of the KyusiPass contact tracing method by August 15, 2021.","SP-3033, S-2021",Operative,"[[""SP-3033, S-2021"", ""Preamble"", 0.7284443974494934], [""SP-3103, S-2022"", ""Operative"", 0.6807438135147095], [""SP-3033, S-2021"", ""Introduction"", 0.6396684646606445], [""SP-3033, S-2021"", ""Operative"", 0.5653913617134094], [""SP-3103, S-2022"", ""Preamble"", 0.37165114283561707], [""SP-3084, S-2021"", ""Operative"", 0.2824784517288208], [""SP-3041, S-2021"", ""Operative"", 0.2617412507534027]]","[[""SP-3033, S-2021"", ""Preamble"", 1.0], [""SP-3033, S-2021"", ""Introduction"", 0.7115856409072876], [""SP-3103, S-2022"", ""Preamble"", 0.5508300065994263], [""SP-3165 S-2022"", ""Introduction"", 0.39031416177749634], [""SP-3033, S-2021"", ""Operative"", 0.32406187057495117], [""SP-0944, S-2000"", ""Operative"", 0.3157013952732086], [""SP-3025, S-2021"", ""Preamble"", 0.3094092011451721]]","[[""SP-3033, S-2021"", ""Preamble"", 0.7135182023048401], [""SP-3033, S-2021"", ""Introduction"", 0.5607907772064209], [""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-3021, S-2021"", ""Preamble"", 0.4316256046295166], [""SP-3165 S-2022"", ""Introduction"", 0.42614999413490295], [""SP-3103, S-2022"", ""Operative"", 0.42607659101486206], [""SP-0944, S-2000"", ""Operative"", 0.4211549162864685]]"
What are the steps and requirements for a vehicle using alternative fuel to be exempt from the Vehicular Volume Reduction Scheme in Quezon City?,Ano ang mga hakbang at kinakailangan para ma-exempt ang isang sasakyang gumagamit ng alternatibong fuel mula sa Vehicular Volume Reduction Scheme sa Lungsod Quezon?,"To be exempt from the Vehicular Volume Reduction Scheme, the vehicle owner must submit a duly accomplished application form, the Certificate of Registration of the vehicle, and proof of payment of the filing fee. The vehicle must then undergo a mandatory inspection at the Department of Public Order and Safety Office. If all documents are complete and in order, a sticker with the signature of the City Mayor will be issued, which must be placed on the vehicle's windshield. Vehicles using alternative fuel but without the required sticker are not exempt.","SP-2398, S-2016",Operative,"[[""SP-2398, S-2016"", ""Operative"", 1.0], [""SP-2398, S-2016"", ""Preamble"", 0.616921603679657], [""SP-2398, S-2016"", ""Introduction"", 0.5904369354248047], [""SP-3107, S-2022"", ""Operative"", 0.19890464842319489], [""SP-2373, S-2014"", ""Operative"", 0.18362188339233398]]","[[""SP-2398, S-2016"", ""Introduction"", 0.6635370850563049], [""SP-2398, S-2016"", ""Operative"", 0.6286380290985107], [""SP-2398, S-2016"", ""Preamble"", 0.6248433589935303], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3184, S-2023"", ""Preamble"", 0.34493139386177063], [""SP-3107, S-2022"", ""Preamble"", 0.30345654487609863], [""SP-0944, S-2000"", ""Operative"", 0.2943327724933624]]","[[""SP-2398, S-2016"", ""Operative"", 0.8678063750267029], [""SP-2398, S-2016"", ""Preamble"", 0.6416131258010864], [""SP-2398, S-2016"", ""Introduction"", 0.5550779104232788], [""SP-8971, S-2022"", ""Preamble"", 0.5], [""SP-3114, S-2022"", ""Operative"", 0.4219275712966919], [""SP-0944, S-2000"", ""Operative"", 0.2768517732620239]]"
What is the significance of including compliance with the Ease of Doing Business Act as a criterion for good local governance in Quezon City?,Ano ang kahalagahan ng pagsasama ng pagsunod sa Ease of Doing Business Act bilang pamantayan para sa magandang lokal na pamamahala sa Lungsod Quezon?,"Including compliance with the Ease of Doing Business Act as a criterion for good local governance in Quezon City emphasizes the importance of efficient and streamlined government services. It aims to reduce bureaucracy and improve the quality of service delivery at the barangay level, thereby ensuring that government operations are more accessible and responsive to the needs of the constituents.","SP-3125, S-2022",Preamble,"[[""SP-3125, S-2022"", ""Preamble"", 0.8770835995674133], [""SP-3125, S-2022"", ""Operative"", 0.8037124872207642], [""SP-3010, S-2021"", ""Preamble"", 0.5830527544021606], [""SP-3114, S-2022"", ""Operative"", 0.5644285678863525], [""SP-3107, S-2022"", ""Preamble"", 0.5], [""SP-3114, S-2022"", ""Operative"", 0.437278687953949]]","[[""SP-3125, S-2022"", ""Preamble"", 0.7544147968292236], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3125, S-2022"", ""Operative"", 0.4826604425907135], [""SP-3107, S-2022"", ""Preamble"", 0.46434828639030457], [""SP-2503, S-2016"", ""Preamble"", 0.45549798011779785], [""SP-3010, S-2021"", ""Preamble"", 0.4086848199367523], [""SP-2445, S-2015"", ""Preamble"", 0.3468555212020874]]","[[""SP-3125, S-2022"", ""Preamble"", 0.6471346616744995], [""SP-3098, S-2022"", ""Preamble"", 0.5014338493347168], [""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.47163107991218567], [""SP-0944, S-2000"", ""Operative"", 0.4440474212169647], [""SP-8569, S-2021"", ""Operative"", 0.4257477819919586], [""SP-2618, S-2017"", ""Preamble"", 0.30682146549224854]]"
What are the benefits and incentives provided to Quezon City Barangay Health Workers under this ordinance?,Ano ang mga benepisyo at insentibo na ibinibigay sa Barangay Health Workers ng Quezon City sa ilalim ng ordinansang ito?,"Under this ordinance, Quezon City Barangay Health Workers (QC-BHWs) are entitled to various local benefits and incentives, which include identification cards, uniforms, a health kit, sponsored PhilHealth membership, educational assistance for themselves or their children, accident insurance, funeral and burial assistance, a retirement benefit of Twenty Thousand Pesos for those who have provided continuous service for at least ten years, and livelihood assistance when separating from service. These benefits are provided as part of an effort to support QC-BHWs in performing their duties and to recognize their contributions to the community.","SP-2445, S-2015",Operative,"[[""SP-2445, S-2015"", ""Preamble"", 0.8397253751754761], [""SP-2445, S-2015"", ""Introduction"", 0.785713255405426], [""SP-2445, S-2015"", ""Operative"", 0.785198450088501], [""SP-3161, S-2022"", ""Operative"", 0.6906881332397461]]","[[""SP-2445, S-2015"", ""Preamble"", 0.87911057472229], [""SP-2445, S-2015"", ""Introduction"", 0.5909393429756165], [""SP-3161, S-2022"", ""Preamble"", 0.5249512791633606], [""SP-3161, S-2022"", ""Introduction"", 0.4895341694355011], [""SP-2445, S-2015"", ""Operative"", 0.48646852374076843], [""SP-3165 S-2022"", ""Introduction"", 0.47632044553756714]]","[[""SP-2445, S-2015"", ""Preamble"", 0.6953166723251343], [""SP-2445, S-2015"", ""Operative"", 0.6825210452079773], [""SP-2445, S-2015"", ""Operative"", 0.6313194036483765], [""SP-3161, S-2022"", ""Operative"", 0.5521301031112671], [""SP-3011, S-2021"", ""Operative"", 0.5496330261230469], [""SP-3114, S-2022"", ""Operative"", 0.5]]"
What is the significance of the City Council extending congratulations to a citizen for their academic achievements?,Ano ang kahalagahan ng pagbati ng Konseho ng Lungsod sa isang mamamayan para sa kanilang tagumpay sa akademya?,"The City Council's congratulations serve to formally recognize and celebrate the individual's outstanding academic achievement, which brings pride to the community. It also serves as an inspiration for young people, encouraging them to pursue excellence and diligence in their studies.","SP-9008, S-2022",Operative,"[[""SP-3129, S-2022"", ""Operative"", 0.9479159116744995], [""SP-3174, S-2023"", ""Preamble"", 0.7279528975486755], [""SP-3129, S-2022"", ""Preamble"", 0.5944905877113342], [""SP-9008, S-2022"", ""Preamble"", 0.5633904337882996], [""SP-3129, S-2022"", ""Introduction"", 0.47437331080436707], [""SP-9010, S-2022"", ""Operative"", 0.4088308811187744], [""SP-9007, S-2022"", ""Operative"", 0.4017504155635834]]","[[""SP-3166 S-2022"", ""Preamble"", 0.5066635012626648], [""SP-9008, S-2022"", ""Preamble"", 0.5], [""SP-3129, S-2022"", ""Operative"", 0.4478604793548584], [""SP-8990, S-2022"", ""Introduction"", 0.4318769574165344], [""SP-0944, S-2000"", ""Operative"", 0.35764652490615845], [""SP-3174, S-2023"", ""Preamble"", 0.3469524681568146], [""SP-3041, S-2021"", ""Preamble"", 0.3457677960395813]]","[[""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-0944, S-2000"", ""Operative"", 0.48324406147003174], [""Sp-9037, S-2022"", ""Operative"", 0.46208927035331726], [""SP-8971, S-2022"", ""Preamble"", 0.3997671902179718], [""SP-9007, S-2022"", ""Operative"", 0.38300564885139465], [""SP-9008, S-2022"", ""Operative"", 0.35499483346939087]]"
What is the significance of allocating at least Twelve Million Pesos for the pneumococcal vaccination program for senior citizens in Quezon City?,Ano ang kahalagahan ng paglaan ng hindi bababa sa Labindalawang Milyong Piso para sa programang pagbabakuna ng mga senior citizen laban sa pneumococcal sa Lungsod Quezon?,"The allocation of at least Twelve Million Pesos for the pneumococcal vaccination program ensures that there are sufficient funds to purchase and provide 23-valent Polysaccharide vaccines to senior citizens across the six districts of Quezon City. This budget is designed to address the needs of senior citizens who have not yet been vaccinated, helping to improve their health and prevent diseases, and can be adjusted in the future based on the number of registered senior citizens requiring vaccination.","SP-2699, S-2018",Operative,"[[""SP-2699, S-2018"", ""Preamble"", 1.0], [""SP-2699, S-2018"", ""Operative"", 0.7128046751022339], [""SP-2760, S-2018"", ""Operative"", 0.48566681146621704], [""SP-2699, S-2018"", ""Introduction"", 0.44100749492645264], [""SP-2760, S-2018"", ""Preamble"", 0.4319283962249756], [""SP-2598, S-2017"", ""Preamble"", 0.3776130676269531]]","[[""SP-2699, S-2018"", ""Preamble"", 0.9301483035087585], [""SP-2699, S-2018"", ""Introduction"", 0.5942019820213318], [""SP-9049, S-2022"", ""Preamble"", 0.5668569803237915], [""SP-2445, S-2015"", ""Preamble"", 0.470380038022995], [""SP-2598, S-2017"", ""Preamble"", 0.41744381189346313], [""SP-3025, S-2021"", ""Preamble"", 0.3976902663707733], [""SP-2699, S-2018"", ""Operative"", 0.3819624185562134]]","[[""SP-2699, S-2018"", ""Preamble"", 0.6787305474281311], [""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-2699, S-2018"", ""Introduction"", 0.43808507919311523], [""SP-8971, S-2022"", ""Preamble"", 0.3954126536846161], [""SP-8962, S-2022"", ""Operative"", 0.3734825551509857], [""SP-2760, S-2018"", ""Introduction"", 0.37257900834083557], [""SP-8565, S-2021"", ""Operative"", 0.3367501497268677]]"
What are the expected benefits and developments that the community anticipates from the construction of the Caltex Gasoline Refilling Station?,Ano ang mga inaasahang benepisyo at pag-unlad na inaasahan ng komunidad mula sa pagtatayo ng Caltex Gasoline Refilling Station?,"The community anticipates benefits and development from the construction of the Caltex Gasoline Refilling Station, which is why the Sangguniang Barangay of Balingasa did not object to the proposed project.","SP-8984, S-2022",Preamble,"[[""SP-8984, S-2022"", ""Operative"", 1.0], [""SP-8984, S-2022"", ""Preamble"", 0.7679526805877686], [""SP-8988, S-2022"", ""Introduction"", 0.7304540276527405], [""SP-8988, S-2022"", ""Operative"", 0.7133438587188721], [""SP-8974, S-2022"", ""Introduction"", 0.6908057332038879], [""SP-8974, S-2022"", ""Operative"", 0.6793673634529114], [""SP-8984, S-2022"", ""Introduction"", 0.6426560282707214]]","[[""SP-8984, S-2022"", ""Operative"", 0.5795244574546814], [""SP-8990, S-2022"", ""Introduction"", 0.5], [""SP-2445, S-2015"", ""Preamble"", 0.4823252260684967], [""SP-3166 S-2022"", ""Preamble"", 0.4728371202945709], [""SP-8988, S-2022"", ""Introduction"", 0.4246383011341095], [""SP-8984, S-2022"", ""Preamble"", 0.42356422543525696], [""SP-8974, S-2022"", ""Introduction"", 0.42134225368499756]]","[[""SP-8984, S-2022"", ""Operative"", 1.0], [""SP-8988, S-2022"", ""Introduction"", 0.756308913230896], [""SP-8984, S-2022"", ""Preamble"", 0.7491888999938965], [""SP-8974, S-2022"", ""Operative"", 0.7291122078895569], [""SP-8974, S-2022"", ""Introduction"", 0.7229496240615845], [""SP-8988, S-2022"", ""Operative"", 0.7122679948806763], [""SP-8984, S-2022"", ""Introduction"", 0.6003804206848145]]"
"What conditions could lead to the annulment of the Special Use Permit issued to Victory Liner, Inc. for their bus terminal?","Anong mga kondisyon ang maaaring magresulta sa pag-alis ng Special Use Permit na inisyu sa Victory Liner, Inc. para sa kanilang bus terminal?","The Special Use Permit (SUP) for Victory Liner, Inc.'s bus terminal could be annulled if the Land Transportation Franchising and Regulatory Board (LTFRB) revokes its franchise, or if there is a violation of applicable special laws, rules, and regulations.","SP-8985, S-2022",Operative,"[[""SP-8985, S-2022"", ""Operative"", 0.9315445423126221], [""SP-8985, S-2022"", ""Introduction"", 0.9117506742477417], [""SP-8985, S-2022"", ""Preamble"", 0.849980354309082], [""SP-8990, S-2022"", ""Operative"", 0.6581504344940186], [""SP-8990, S-2022"", ""Preamble"", 0.6484338641166687], [""SP-8972, S-2022"", ""Introduction"", 0.4326069951057434], [""SP-8972, S-2022"", ""Operative"", 0.39537179470062256]]","[[""SP-8985, S-2022"", ""Preamble"", 0.809341311454773], [""SP-8985, S-2022"", ""Introduction"", 0.7377414107322693], [""SP-8990, S-2022"", ""Preamble"", 0.5487851500511169], [""SP-3166 S-2022"", ""Preamble"", 0.5], [""SP-8985, S-2022"", ""Operative"", 0.45194247364997864], [""SP-3165 S-2022"", ""Introduction"", 0.4405706524848938], [""SP-8990, S-2022"", ""Introduction"", 0.4381277561187744]]","[[""SP-8985, S-2022"", ""Introduction"", 1.0], [""SP-8985, S-2022"", ""Operative"", 0.8619678020477295], [""SP-8985, S-2022"", ""Preamble"", 0.7691836953163147], [""SP-8990, S-2022"", ""Operative"", 0.5878363847732544], [""SP-8990, S-2022"", ""Preamble"", 0.4931638836860657], [""SP-8972, S-2022"", ""Introduction"", 0.4655326008796692], [""SP-8972, S-2022"", ""Operative"", 0.3960728049278259]]"
What is the purpose of creating a Gender and Development (GAD) Council Office in Quezon City?,Ano ang layunin ng pagbuo ng Gender and Development (GAD) Council Office sa Lungsod Quezon?,"The purpose of creating a GAD Council Office in Quezon City is to monitor and implement gender and development plans, programs, and activities from the barangay to the city level. It aims to promote women's empowerment and gender equality, ensure the compliance of the city government with relevant legal frameworks, and provide secretariat support to ensure gender-responsive governance. The office also develops and implements capacity-building activities, establishes gender-responsive knowledge centers, and produces reports on gender issues for submission to relevant agencies.","SP-3157, S-2022",Operative,"[[""SP-3157, S-2022"", ""Operative"", 0.9737904071807861], [""SP-3157, S-2022"", ""Preamble"", 0.9631431102752686]]","[[""SP-3157, S-2022"", ""Preamble"", 0.8408547639846802], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3157, S-2022"", ""Operative"", 0.4853035807609558], [""SP-0944, S-2000"", ""Operative"", 0.4034593105316162]]","[[""SP-3157, S-2022"", ""Preamble"", 1.0], [""SP-3157, S-2022"", ""Operative"", 0.792052149772644], [""SP-3157, S-2022"", ""Operative"", 0.5348889231681824], [""SP-3165 S-2022"", ""Introduction"", 0.4512995779514313]]"
What role does the City Council play in the appointment of department heads by the City Mayor according to the Local Government Code?,Ano ang papel ng Konseho ng Lungsod sa pagtatalaga ng mga pinuno ng departamento ng Alkalde ng Lungsod ayon sa Local Government Code?,"The City Council must concur with the appointments of department and office heads made by the City Mayor, ensuring that such appointments meet the procedural and substantive requirements set forth by the Civil Service Rules and Regulations.","SP-8989, S-2022",Preamble,"[[""SP-8989, S-2022"", ""Preamble"", 1.0], [""SP-8989, S-2022"", ""Operative"", 0.3690720796585083], [""SP-3137, S-2022"", ""Preamble"", 0.3030034303665161], [""SP-7924, S-2019"", ""Preamble"", 0.2693564295768738], [""SP-3174, S-2023"", ""Preamble"", 0.26696479320526123], [""SP-3372-S-2024"", ""Preamble"", 0.26077476143836975], [""SP-3166 S-2022"", ""Preamble"", 0.25547027587890625]]","[[""SP-3166 S-2022"", ""Preamble"", 0.5], [""SP-8989, S-2022"", ""Preamble"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.3182564377784729], [""SP-8990, S-2022"", ""Introduction"", 0.2933334410190582], [""SP-1189, S-2002"", ""Preamble"", 0.2702590525150299], [""SP-0983, S-2000"", ""Operative"", 0.26902249455451965], [""SP-2445, S-2015"", ""Preamble"", 0.22610361874103546]]","[[""SP-8633, S-2021"", ""Preamble"", 0.527600884437561], [""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-9044, S-2022"", ""Preamble"", 0.4925310015678406], [""SP-3099, S-2022"", ""Operative"", 0.4732956290245056], [""SP-8971, S-2022"", ""Preamble"", 0.4585866332054138], [""SP-3011, S-2021"", ""Operative"", 0.45666319131851196], [""SP-2618, S-2017"", ""Preamble"", 0.4080893397331238]]"
What are the benefits for existing buildings that comply with the ordinance by dedicating rooftop space for vegetation?,Ano ang mga benepisyo para sa mga kasalukuyang gusali na sumusunod sa ordinansa sa pamamagitan ng paglaan ng espasyo sa bubong para sa mga halaman?,Existing buildings that devote at least thirty percent of their roof areas for plants and trees are entitled to a discount on the real property tax equivalent to the assessed value of the floor area dedicated to plants and trees. This discount is available for ten years starting from the completion of the improvement.,"SP-1940, S-2009",Operative,"[[""SP-1940, S-2009"", ""Operative"", 0.9583908915519714], [""SP-1940, S-2009"", ""Preamble"", 0.4768436551094055], [""SP-1940, S-2009"", ""Introduction"", 0.3996083438396454], [""SP-1917, S-2009"", ""Operative"", 0.3389699161052704]]","[[""SP-1940, S-2009"", ""Introduction"", 0.5], [""SP-1940, S-2009"", ""Operative"", 0.5], [""SP-3166 S-2022"", ""Preamble"", 0.4675692021846771], [""SP-1917, S-2009"", ""Introduction"", 0.4628956913948059], [""SP-3165 S-2022"", ""Introduction"", 0.45949020981788635], [""SP-8990, S-2022"", ""Introduction"", 0.4262407720088959]]","[[""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-8971, S-2022"", ""Preamble"", 0.34923893213272095], [""SP-3011, S-2021"", ""Operative"", 0.3386674225330353], [""SP-3156, S-2022"", ""Introduction"", 0.2871158719062805], [""SP-3099, S-2022"", ""Operative"", 0.2503708600997925], [""SP-3114, S-2022"", ""Operative"", 0.2430143654346466]]"
What is the purpose of the resolution encouraging parents in Quezon City to vaccinate their children against COVID-19 before the resumption of face-to-face classes?,Ano ang layunin ng resolusyon na hikayatin ang mga magulang sa Lungsod Quezon na pabakunahan ang kanilang mga anak laban sa COVID-19 bago ang pagbabalik ng face-to-face classes?,"The resolution aims to encourage parents to vaccinate their children against COVID-19 to ensure their safety and health protection during the return to face-to-face classes in both public and private schools. This is also part of the effort to prevent the spread of the disease, thus contributing to the overall public health welfare.","SP-9049, S-2022",Operative,"[[""SP-9049, S-2022"", ""Operative"", 1.0], [""SP-9049, S-2022"", ""Preamble"", 0.7268388271331787], [""SP-9049, S-2022"", ""Introduction"", 0.6847686767578125], [""Sp-9037, S-2022"", ""Preamble"", 0.5441805720329285], [""SP-3119, S-2022"", ""Preamble"", 0.405579149723053], [""SP-3076, S-2021"", ""Preamble"", 0.40512433648109436]]","[[""SP-9049, S-2022"", ""Operative"", 0.8022825717926025], [""SP-9049, S-2022"", ""Preamble"", 0.7214081883430481], [""SP-9049, S-2022"", ""Introduction"", 0.6849266290664673], [""Sp-9037, S-2022"", ""Preamble"", 0.5924563407897949], [""SP-3025, S-2021"", ""Preamble"", 0.5869193077087402], [""Sp-9037, S-2022"", ""Operative"", 0.5376923084259033]]","[[""SP-9049, S-2022"", ""Operative"", 0.8857792615890503], [""Sp-9037, S-2022"", ""Operative"", 0.6976907253265381], [""SP-9049, S-2022"", ""Introduction"", 0.6332037448883057], [""Sp-9037, S-2022"", ""Preamble"", 0.6075395345687866], [""SP-9049, S-2022"", ""Preamble"", 0.5878214240074158], [""SP-8971, S-2022"", ""Preamble"", 0.5], [""SP-3119, S-2022"", ""Preamble"", 0.40105393528938293]]"
What is the purpose of the financial assistance granted to the Quezon City Unified Retired Teachers' Association (URTASI) by the Quezon City Government?,Ano ang layunin ng pinansyal na tulong na ipinagkaloob ng Pamahalaang Lungsod ng Quezon City sa Quezon City Unified Retired Teachers' Association (URTASI)?,"The financial assistance granted to URTASI is intended to support their Mutual Aid Program, Health and Wellness Program, social and cultural activities, and maintenance and operational expenses. This includes providing medical assistance and death aid to its members.","SP-8962, S-2022",Introduction,"[[""SP-8962, S-2022"", ""Preamble"", 1.0], [""SP-8962, S-2022"", ""Operative"", 0.8045740723609924], [""SP-8962, S-2022"", ""Introduction"", 0.49820107221603394], [""SP-2727, S-2018"", ""Preamble"", 0.27469947934150696], [""SP-2831, S-2019"", ""Preamble"", 0.20304296910762787], [""SP-2727, S-2018"", ""Operative"", 0.2005411982536316], [""SP-3136, S-2022"", ""Preamble"", 0.16216707229614258]]","[[""SP-8962, S-2022"", ""Preamble"", 0.9433170557022095], [""SP-8962, S-2022"", ""Operative"", 0.7584843635559082], [""SP-8962, S-2022"", ""Introduction"", 0.7145750522613525], [""SP-3165 S-2022"", ""Introduction"", 0.46057814359664917], [""SP-3025, S-2021"", ""Preamble"", 0.4313521087169647], [""SP-0944, S-2000"", ""Operative"", 0.40374571084976196], [""SP-2069, S-2011"", ""Uncategorized"", 0.3637140691280365]]","[[""SP-8962, S-2022"", ""Operative"", 0.8379836082458496], [""SP-8962, S-2022"", ""Preamble"", 0.8048782348632812], [""SP-8962, S-2022"", ""Introduction"", 0.5343570709228516], [""SP-8971, S-2022"", ""Preamble"", 0.27569901943206787], [""SP-3099, S-2022"", ""Operative"", 0.26933878660202026], [""SP-3114, S-2022"", ""Operative"", 0.21293193101882935], [""SP-8569, S-2021"", ""Operative"", 0.18988969922065735]]"
